
Epoch: 1/15, 1500/1500, ETA: 02m 25s
Epoch 1/15, Loss: 0.3073, Accuracy: 0.9026
Validation Loss: 0.0398, Validation Accuracy: 0.9621
Validation Loss: 0.0399, Validation Accuracy: 0.9621
Validation Loss: 0.0405, Validation Accuracy: 0.9622
Validation Loss: 0.0410, Validation Accuracy: 0.9622
Validation Loss: 0.0411, Validation Accuracy: 0.9626
Validation Loss: 0.0415, Validation Accuracy: 0.9626
Validation Loss: 0.0415, Validation Accuracy: 0.9629
Validation Loss: 0.0416, Validation Accuracy: 0.9632
Validation Loss: 0.0417, Validation Accuracy: 0.9635
Validation Loss: 0.0421, Validation Accuracy: 0.9635
Validation Loss: 0.0423, Validation Accuracy: 0.9636
Validation Loss: 0.0425, Validation Accuracy: 0.9636
Validation Loss: 0.0427, Validation Accuracy: 0.9637
Validation Loss: 0.0428, Validation Accuracy: 0.9639
Validation Loss: 0.0430, Validation Accuracy: 0.9640
Validation Loss: 0.0431, Validation Accuracy: 0.9643
Validation Loss: 0.0434, Validation Accuracy: 0.9643
Validation Loss: 0.0438, Validation Accuracy: 0.9643
Validation Loss: 0.0440, Validation Accuracy: 0.9644
Validation Loss: 0.0449, Validation Accuracy: 0.9639
Validation Loss: 0.0450, Validation Accuracy: 0.9640
Validation Loss: 0.0451, Validation Accuracy: 0.9642
Validation Loss: 0.0455, Validation Accuracy: 0.9643
Validation Loss: 0.0458, Validation Accuracy: 0.9643
Validation Loss: 0.0462, Validation Accuracy: 0.9641
Validation Loss: 0.0464, Validation Accuracy: 0.9641
Validation Loss: 0.0472, Validation Accuracy: 0.9633
Validation Loss: 0.0473, Validation Accuracy: 0.9635
Validation Loss: 0.0475, Validation Accuracy: 0.9638
Validation Loss: 0.0478, Validation Accuracy: 0.9636
Validation Loss: 0.0480, Validation Accuracy: 0.9636
Validation Loss: 0.0487, Validation Accuracy: 0.9633
Validation Loss: 0.0487, Validation Accuracy: 0.9635
Validation Loss: 0.0491, Validation Accuracy: 0.9633
Validation Loss: 0.0496, Validation Accuracy: 0.9632
Validation Loss: 0.0497, Validation Accuracy: 0.9634
Validation Loss: 0.0501, Validation Accuracy: 0.9634
Validation Loss: 0.0503, Validation Accuracy: 0.9635
Validation Loss: 0.0504, Validation Accuracy: 0.9637
Validation Loss: 0.0515, Validation Accuracy: 0.9635
Validation Loss: 0.0517, Validation Accuracy: 0.9636
Validation Loss: 0.0520, Validation Accuracy: 0.9634
Validation Loss: 0.0528, Validation Accuracy: 0.9632
Validation Loss: 0.0531, Validation Accuracy: 0.9633
Validation Loss: 0.0535, Validation Accuracy: 0.9631
Validation Loss: 0.0536, Validation Accuracy: 0.9633
Validation Loss: 0.0538, Validation Accuracy: 0.9634
Validation Loss: 0.0540, Validation Accuracy: 0.9634
Validation Loss: 0.0543, Validation Accuracy: 0.9634
Validation Loss: 0.0545, Validation Accuracy: 0.9635
Validation Loss: 0.0552, Validation Accuracy: 0.9631
Validation Loss: 0.0554, Validation Accuracy: 0.9632
Validation Loss: 0.0556, Validation Accuracy: 0.9632
Validation Loss: 0.0557, Validation Accuracy: 0.9632
Validation Loss: 0.0562, Validation Accuracy: 0.9633
Validation Loss: 0.0569, Validation Accuracy: 0.9628
Validation Loss: 0.0571, Validation Accuracy: 0.9630
Validation Loss: 0.0573, Validation Accuracy: 0.9630
Validation Loss: 0.0575, Validation Accuracy: 0.9630
Validation Loss: 0.0577, Validation Accuracy: 0.9632
Validation Loss: 0.0578, Validation Accuracy: 0.9635
Validation Loss: 0.0581, Validation Accuracy: 0.9635
Validation Loss: 0.0590, Validation Accuracy: 0.9632
Validation Loss: 0.0598, Validation Accuracy: 0.9628
Validation Loss: 0.0599, Validation Accuracy: 0.9631
Validation Loss: 0.0603, Validation Accuracy: 0.9627
Validation Loss: 0.0606, Validation Accuracy: 0.9626
Validation Loss: 0.0608, Validation Accuracy: 0.9625
Validation Loss: 0.0610, Validation Accuracy: 0.9625
Validation Loss: 0.0614, Validation Accuracy: 0.9625
Validation Loss: 0.0617, Validation Accuracy: 0.9626
Validation Loss: 0.0618, Validation Accuracy: 0.9628
Validation Loss: 0.0620, Validation Accuracy: 0.9628
Validation Loss: 0.0621, Validation Accuracy: 0.9630
Validation Loss: 0.0622, Validation Accuracy: 0.9632
Validation Loss: 0.0622, Validation Accuracy: 0.9634
Validation Loss: 0.0625, Validation Accuracy: 0.9634
Validation Loss: 0.0627, Validation Accuracy: 0.9634
Validation Loss: 0.0628, Validation Accuracy: 0.9636
Validation Loss: 0.0630, Validation Accuracy: 0.9636
Validation Loss: 0.0633, Validation Accuracy: 0.9637
Validation Loss: 0.0633, Validation Accuracy: 0.9639
Validation Loss: 0.0634, Validation Accuracy: 0.9640
Validation Loss: 0.0635, Validation Accuracy: 0.9642
Validation Loss: 0.0638, Validation Accuracy: 0.9641
Validation Loss: 0.0639, Validation Accuracy: 0.9643
Validation Loss: 0.0641, Validation Accuracy: 0.9644
Validation Loss: 0.0643, Validation Accuracy: 0.9646
Validation Loss: 0.0649, Validation Accuracy: 0.9645
Validation Loss: 0.0653, Validation Accuracy: 0.9642
Validation Loss: 0.0656, Validation Accuracy: 0.9642
Validation Loss: 0.0657, Validation Accuracy: 0.9644
Validation Loss: 0.0659, Validation Accuracy: 0.9646
Validation Loss: 0.0662, Validation Accuracy: 0.9646
Validation Loss: 0.0666, Validation Accuracy: 0.9645
Validation Loss: 0.0668, Validation Accuracy: 0.9645
